ï»¿dummy        {'LANG:FI', 'dummy'}
lava-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'PF:lava', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'LF:wash', '!COMP:*', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
lavato          ['LANG:IT']
lavata          ['LANG:IT']
lavare          ['LANG:IT']
lavati          ['LANG:IT']
lavando         ['LANG:IT']
lavo            ['LANG:IT']
lavi            ['LANG:IT']
lava            ['LANG:IT']
le              {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', 'LANG:IT', 'LF:D', '-SPEC:P', '-SPEC:D', '-COMP:D', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF', 'PF:le'}
leaves          ['LANG:EN']
leave           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'PHI:NUM:_', 'PF:leave', 'ASP', 'SPEC:ADV', '!SPEC:D', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', 'LF:leave', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
leave-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'PHI:NUM:_', 'PF:leave', 'ASP', 'SPEC:ADV', '!SPEC:D', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', 'LF:leave', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
like-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'LF:like', '!COMP:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'PF:like', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
likes           ['LANG:EN']
like            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'LF:like', '!COMP:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'PF:like', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
little          ['LANG:EN']
little-         {'LF:little', 'PF:little-', 'SPEC:D', '0', 'LANG:EN', '2SPEC'}
lle             {'-SPEC:FORCE', 'PF:P(lle)', '-SPEC:V', 'TAIL:V,+SEM:directional', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'PHI:DET:_', 'SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'ARG', '-SPEC:iR', '+SEM:directional', '-COMP:uWH', 'LF:for', '-SPEC:P', 'P', 'LANG:FI', '-VAL', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
lla             {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'LF:by', 'TAIL:*V', 'ARG', '-SPEC:iR', 'TAIL:T', '-COMP:uWH', '-SPEC:P', 'P', 'LANG:FI', '-VAL', 'PF:P(lla)', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
Luisa           ['LANG:IT']
Luisa-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:ADV', 'LF:Luisa', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', 'PF:Luisa'}
lukemalla       ['LANG:FI']
luke-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'LF:read', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'PF:luke', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
loydetty        ['LANG:FI']
loydettiin      ['LANG:FI']
loysimme        ['LANG:FI']
loysi           ['LANG:FI']
loytaa          ['LANG:FI']
loyta-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'ASP:BOUNDED', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', 'ASP', 'LF:find', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:P', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'PF:loyta-', 'PHI:PER:_'}
Mary            ['LANG:EN']
Mary-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', 'PF:Mary', 'LANG:EN', '-COMP:T/fin', '-SPEC:T/fin', 'COMP:R/D', '-SPEC:ADV', '-SEM:directional', 'LF:Mary', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', '-adjoinable', 'COMP:P', '-COMP:ADV'}
Merja           ['LANG:FI']
Merjan          ['LANG:FI']
Merjan_acc      ['LANG:FI']
Merja_0acc      ['LANG:FI']
Merjan_gen      ['LANG:FI']
Merjan_poss     ['LANG:FI']
Merjaa          ['LANG:FI']
Merja-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', 'LF:Merja', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:Merja', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', '-adjoinable', 'COMP:P', '-COMP:ADV'}
Merjalle        ['LANG:FI']
Merjalla        ['LANG:FI']
malla           {'-SPEC:FORCE', '-SPEC:T/fin', 'SPEC:*', 'LANG:FI', 'COMP:v', 'MA/inf', '-SPEC:Neg/fin', 'ADV', '-SPEC:N', 'adjoinable', 'PF:malla', 'LF:by'}
meren           ['LANG:FI']
mere-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PF:meri', '-COMP:C/fin', '-SPEC:uWH', 'LF:ocean', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
mistake         {'-COMP:v', 'LF:mistake', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'PF:mistake', '-COMP:AUX', '-COMP:V', 'COMP:P', '-COMP:ADV'}
minka           ['LANG:FI']
mika            ['LANG:FI']
mika-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', 'PF:mika-', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LF:what', '-COMP:WH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
mita            ['LANG:FI']
moved           ['LANG:EN']
move'           ['LANG:EN']
move-           {'-COMP:v', '-SPEC:FORCE', 'LANGN:EN', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:T', '-SPEC:T/fin', 'PF:move', 'PHI:NUM:_', 'ASP', 'LF:move', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '+SEM:directional', 'COMP:D', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
mukavasti       ['LANG:FI']
mukava-         {'SPEC:*', 'COMP:0', 'LANG:FI', 'PF:mukavasti', 'adjoinable', 'A', 'TAIL:D', '-SPEC:A', 'LF:comfortably'}
must            {'-SPEC:FORCE', '-SPEC:V', '!PROBE:V', 'PHI:DET:_', 'LANG:EN', 'PHI:GEN:_', 'COMP:Neg', '-SPEC:T/fin', 'SPEC:*', '-SPEC:v', 'VAL', 'SPEC:D', 'COMP:v', '-SPEC:N', '-SPEC:C/fin', 'PHI:NUM:_', 'MODAL', '!SPEC:*', '!SPEC:D', 'T', 'ARG', 'SPEC:TO/inf', 'T/fin', 'COMP:D', 'COMP:V', '!COMP:*', 'COMP:T/prt', 'FIN', 'LF:must', 'PHI:PER:_', 'PF:must'}
naki            ['LANG:FI']
nake-           {'-COMP:v', '-SPEC:FORCE', 'PF:nake', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'LF:see', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', '-COMP:ESSA/inf', 'SPEC:TO/inf', '-COMP:MA/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
nayttaa         ['LANG:FI']
naytta-         {'-COMP:v', '-SPEC:FORCE', 'PF:naytta', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SEM:internal', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'V', '!COMP:VA/inf', '-COMP:V', 'COMP:P', 'PHI:PER:_', 'LF:seem'}
ne              {'!PROBE:N', 'PF:ne', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', 'PHI:NUM:PL', '-SPEC:P', '-SPEC:D', '-COMP:D', 'LANG:FI', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF', 'LF:those', 'PHI:PER:3'}
niiden          ['LANG:FI']
nen             {'LF:ing', 'SPEC:*', 'COMP:0', 'PF:a', 'LANG:FI', 'adjoinable', 'A', 'TAIL:D', '-SPEC:A'}
not             {'PF:not', 'Neg', 'ARG', 'PHI:DET:_', 'LANG:EN', 'PHI:GEN:_', 'POL:NEG', '-SPEC:T/fin', 'SPEC:*', '-COMP:D', '-VAL', '-COMP:C', '!COMP:*', 'PHI:NUM:_', 'LF:not', 'PHI:PER:_', '-COMP:FIN'}
nukahti         ['LANG:FI']
nukkunut        ['LANG:FI']
nukuttiin       ['LANG:FI']
nukkua          ['LANG:FI']
nukkui          ['LANG:FI']
nukkuu          ['LANG:FI']
nukku-          {'-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', 'CLASS:INTR', '-SPEC:T/fin', '-COMP:Neg/fin', 'SPEC:D', 'PHI:NUM:_', 'PF:nukku', 'LF:sleep', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-COMP:D', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
ollut           ['LANG:FI']
on'             ['LANG:FI']
ostaa           ['LANG:FI']
osta-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LF:buy', '-COMP:P', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', 'PF:osta', 'COMP:P', 'PHI:PER:_'}
paivan          ['LANG:FI']
paivaa          ['LANG:FI']
paiva           ['LANG:FI']
paiva-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'PF:paiva', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:ADV', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', 'SEM:nonreferential', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', 'LF:day', 'COMP:P', '-COMP:V'}
Pariisia        ['LANG:FI']
Pariisi-        {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'PF:Pariisi', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', 'LF:Paris', '-COMP:ADV'}
Pekkaa          ['LANG:FI']
Pekka           ['LANG:FI']
Pekan_gen       ['LANG:FI']
Pekka-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', '-SEM:directional', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', 'PF:Pekka', '-SPEC:uWH', 'LF:Pekka', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
pelottaa        ['LANG:FI']
pelkaa-         {'-COMP:v', '-SPEC:FORCE', 'LF:fear', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PF:pelkaa', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
persuades       ['LANG:EN']
persuade-       {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:TO/inf', 'LF:persuade', 'SEM:external', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_', 'PF:persuade'}
pesi            ['LANG:FI']
pesta           ['LANG:FI']
pese-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'ASP:BOUNDED', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PF:pese', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'LF:wash', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
pese-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PF:pese', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'LF:wash', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
pieni           ['LANG:FI']
pieni-          {'LF:small', 'SPEC:D', '0', 'PF:pieni-', '2SPEC', 'LANG:FI'}
poikien         ['LANG:FI']
poika-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:boy', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', 'PF:poika', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
puhelinta       ['LANG:FI']
puhelin-        {'SPEC:D', 'LF:phone', '0', '2SPEC', 'PF:puhelin', 'LANG:FI'}
punainen        ['LANG:FI']
puna-           {'SPEC:D', '0', 'LF:red', 'PF:puna-', '2SPEC', 'LANG:FI'}
presupposto     {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'PF:presupposto', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LF:presupposition', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
promises        ['LANG:EN']
promise-        {'LF:promise', '-COMP:v', '-SPEC:FORCE', 'PF:promise', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SEM:internal', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:D', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
pyytaa          ['LANG:FI']
pyyta-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'PF:pyyda', 'LANG:FI', '-VAL', 'LF:ask', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
raukesi         ['LANG:FI']
raukea-         {'PF:raukea', '-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'LF:terminate', 'COMP:P', 'PHI:PER:_'}
red             ['LANG:EN']
red-            {'SPEC:D', 'PF:red', '0', 'LANG:EN', 'LF:red', '2SPEC'}
saavuttaa       ['LANG:FI']
saavutta-       {'-COMP:v', '-SPEC:FORCE', 'PF:saavutta-', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', 'LF:reach', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
sanon           ['LANG:FI']
sanoo           ['LANG:FI']
sanoi           ['LANG:FI']
sano-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'COMP:VA/inf', 'SPEC:D', 'PHI:NUM:_', 'LF:say', 'ASP', 'SPEC:ADV', 'COMP:FORCE', 'PF:sano-', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
said            ['LANG:EN']
say'            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', '!COMP:FORCE', 'SPEC:D', 'PHI:NUM:_', 'PF:say', 'LF:say', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
say-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', '!COMP:FORCE', 'SPEC:D', 'PHI:NUM:_', 'PF:say', 'LF:say', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
sen             {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', 'TAIL:*POL:NEG', 'LF:the/that', '-SPEC:Neg/fin', '-SPEC:N', 'D', 'adjoinable', '-ARG', 'PF:sen', '-SPEC:P', '-SPEC:D', '-COMP:D', 'LANG:FI', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF', 'TAIL:ASP', 'TAIL:PHI'}
se'             {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', 'PF:se', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', 'LF:the/that', '-SPEC:Neg/fin', '-SPEC:N', 'D', 'adjoinable', '-ARG', '-SPEC:P', '-SPEC:D', '-COMP:D', 'LANG:FI', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
sentenza        {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'PF:sentenza', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'LF:sentence', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
Seine           ['LANG:FI']
Seine-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'PF:Seine', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:Seine', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
sembrano        ['LANG:IT']
sembra-         {'-COMP:v', '-SPEC:FORCE', 'PF:sembra', '-COMP:N', 'SPEC:P', '-COMP:T', '-ASP', '-SPEC:T/fin', '-ARG', 'SPEC:ADV', 'SPEC:TO/inf', '-COMP:D', 'LANG:FI', '-VAL', '-R', 'V', '-COMP:V', 'COMP:P', 'LF:seem', '!COMP:ARE/inf'}
sleeps          ['LANG:EN']
sleep           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', 'CLASS:INTR', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'LF:sleep', 'ASP', 'SPEC:ADV', 'PF:sleep', 'ARG', 'SPEC:TO/inf', '-COMP:D', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
sleep-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', 'CLASS:INTR', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'LF:sleep', 'ASP', 'SPEC:ADV', 'PF:sleep', 'ARG', 'SPEC:TO/inf', '-COMP:D', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
sono            ['LANG:IT']
sopimuksen      ['LANG:FI']
sopimus         ['LANG:FI']
sopimus-        {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'LF:agreement', 'COMP:R/D', 'PF:sopimus', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '!COMP:A/inf', 'LANG:FI', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
spinge          ['LANG:IT']
spinge-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'LANG:IT', 'PF:spinge', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', 'LF:push', '-COMP:V', '-COMP:P', 'PHI:PER:_'}
ssa             {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', 'COMP:n/MA', '-SPEC:ADV', '-SPEC:T/fin', 'PHI:DET:_', 'SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'PF:ssa', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', 'LANG:FI', '-VAL', '!COMP:*', 'LF:in', 'TAIL:V', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
stanno          ['LANG:IT']
sta-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-ASP', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'SEM:internal', 'SPEC:ADV', 'LF:stay', 'ARG', 'SPEC:TO/inf', 'COMP:PRG', 'LANG:FI', '-VAL', 'V', 'PF:sta', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
